event_id,tiger_id,filename,timestamp,camera_id,latitude,longitude,grid_id,zone,zone_type,habitat,range,station_id,trail_type,previous_camera,distance_from_previous_km,bearing_deg,estimated_travel_time_hr,home_range_id,distance_from_hr_center_km,inside_home_range,distance_to_core_boundary_km,distance_to_buffer_km,distance_to_village_km,nearest_village,distance_to_water_km,nearest_water,prey_density,water_availability,human_disturbance,camera_operational,camera_detection_probability,image_quality,reid_confidence,movement_state,behavioral_state,season,alert_level,ambient_temp_c,lighting_condition,camera_type,nearest_village_dist_km,event_type,anomaly_type,anomaly_confidence
c5f09c7d-1a5,153,000938.jpg,2022-06-10 18:00:00,CAM-0085,21.550547,79.204509,G003005,core_forest,core_forest,mixed_forest,Paoni Buffer,CAM-0085,crossing,CAM-0102,2.693,219.1,0.9,HR-153,1.185,True,0.177,5.76,3.973,Sawara,4.38,Jamni River,0.579,0.173,0.191,True,0.077,occluded,0.31,SLOW,slow_movement,summer,SAFE,34.2,Dawn / Dusk,Camera Trap (Wildlife),3.973,observation,water_driven_movement,0.5
351b44e1-5bb,168,001409.jpg,2022-06-10 18:00:00,CAM-0119,21.753599,79.261957,G014008,buffer,buffer,teak_forest,North Buffer,CAM-0119,forest_road,CAM-0116,2.316,79.9,0.77,HR-168,0.989,True,0.564,2.011,0.269,Bandara,5.579,Pench River North,0.679,0.216,0.471,True,0.053,occluded,0.35,NORMAL,normal_travel,summer,CAUTION,32.4,Dawn / Dusk,CCTV / Solar Camera,0.269,observation,water_driven_movement,0.5
12b9114b-bf1,196,002007.jpg,2022-06-10 18:00:00,CAM-0045,21.660499,79.22207,G009006,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0045,forest_road,CAM-0045,0.0,0.0,0.0,HR-196,0.397,True,9.892,12.563,10.847,Hiwra,5.436,Pench River Main,0.59,0.042,0.05,True,0.305,partial,0.54,RESTING,resting,summer,SAFE,36.0,Dawn / Dusk,Camera Trap (Wildlife),10.847,observation,water_driven_movement,0.5
ab72a114-6a1,202,001515.jpg,2022-06-10 18:00:00,CAM-0021,21.660388,79.161413,G009003,core_forest,core_forest,mixed_forest,West Pench,CAM-0021,ridge,CAM-0099,2.477,49.5,0.83,HR-202,1.1,True,3.355,6.817,6.205,Ghiregaon,7.267,Saleghat Nala,0.598,0.0,0.182,True,0.103,poor,0.31,NORMAL,normal_travel,summer,SAFE,34.4,Dawn / Dusk,Camera Trap (Wildlife),6.205,observation,water_driven_movement,0.5
6c609cbc-7f6,273,001518.jpg,2022-06-10 18:00:00,CAM-0110,21.591278,79.126447,G005001,buffer,buffer,teak_forest,West Buffer,CAM-0110,animal_trail,CAM-0112,1.531,164.2,0.51,HR-273,0.621,True,1.327,2.656,2.316,Jamun,3.992,Saleghat Nala,0.362,0.159,0.474,True,0.56,good,0.85,EXPLORATORY,exploratory,summer,CAUTION,33.1,Dawn / Dusk,CCTV / Solar Camera,2.316,observation,water_driven_movement,0.5
e06608ee-867,1,002098.jpg,2022-06-10 21:00:00,CAM-0026,21.661419,79.202975,G009005,core_forest,core_forest,mixed_forest,West Pench,CAM-0026,animal_trail,CAM-0030,2.154,80.7,0.72,HR-1,1.366,True,7.934,11.43,9.781,Bodalkasa,6.321,Pench River North,0.609,0.0,0.05,True,0.186,occluded,0.38,SLOW,slow_movement,summer,SAFE,34.6,Night (IR Flash),Camera Trap (Wildlife),9.781,observation,water_driven_movement,0.5
86a3ae42-4df,39,004838.jpg,2022-06-10 21:00:00,CAM-0037,21.627916,79.223226,G007006,core_forest,core_forest,grassland,Chorbahuli,CAM-0037,streambed,CAM-0070,2.49,75.8,0.83,HR-39,1.902,True,8.942,13.678,10.719,Wadamba,4.309,NH-44 Culvert Pool,0.684,0.161,0.05,True,0.096,poor,0.31,SLOW,slow_movement,summer,SAFE,34.5,Night (IR Flash),Camera Trap (Wildlife),10.719,observation,water_driven_movement,0.5
58d415af-094,42,003276.jpg,2022-06-10 21:00:00,CAM-0087,21.551809,79.319924,G003011,buffer,buffer,teak_forest,Nagalwadi Buffer,CAM-0087,forest_road,CAM-0087,0.0,0.0,0.0,HR-42,0.92,True,1.802,2.327,2.634,Khapa,10.36,NH-44 Culvert Pool,0.307,0.0,0.444,True,0.126,poor,0.33,SLOW,slow_movement,summer,CAUTION,33.5,Night (IR Flash),Camera Trap (Wildlife),2.634,observation,water_driven_movement,0.5
b92c44e8-c70,54,000543.jpg,2022-06-10 21:00:00,CAM-0073,21.569168,79.201126,G004005,core_forest,core_forest,teak_forest,Saleghat,CAM-0073,forest_road,CAM-0073,0.0,0.0,0.0,HR-54,1.142,True,2.19,7.743,5.004,Wadamba,2.347,Jamni River,0.619,0.262,0.225,True,0.06,occluded,0.39,SLOW,slow_movement,summer,SAFE,32.6,Night (IR Flash),Camera Trap (Wildlife),5.004,observation,water_driven_movement,0.5
a76698df-d21,64,001189.jpg,2022-06-10 21:00:00,CAM-0113,21.587896,79.141935,G005002,buffer,buffer,grassland,West Buffer,CAM-0113,animal_trail,CAM-0062,1.9,270.8,0.63,HR-64,1.217,True,0.105,4.252,3.818,Jamun,2.503,Saleghat Nala,0.765,0.339,0.201,True,0.659,good_ir,0.75,NORMAL,normal_travel,summer,CAUTION,32.3,Night (IR Flash),Camera Trap (Wildlife),3.818,observation,normal,0.0
84130276-9bf,88,004351.jpg,2022-06-10 21:00:00,CAM-0006,21.625225,79.318854,G007011,core_forest,core_forest,bamboo,East Pench,CAM-0006,animal_trail,CAM-0002,1.856,80.6,0.62,HR-88,1.773,True,5.017,8.316,6.969,Sillari,2.98,East Pench Nala,0.62,0.274,0.087,True,0.113,poor,0.31,RESTING,resting,summer,SAFE,32.4,Night (IR Flash),Camera Trap (Wildlife),6.969,observation,water_driven_movement,0.5
52639a55-e8a,96,003934.jpg,2022-06-10 21:00:00,CAM-0072,21.572058,79.179391,G004004,core_forest,core_forest,teak_forest,Saleghat,CAM-0072,animal_trail,CAM-0075,2.119,348.4,0.71,HR-96,1.557,True,1.415,7.056,3.146,Wadamba,2.947,Saleghat Nala,0.619,0.262,0.225,True,0.094,partial,0.58,NORMAL,normal_travel,summer,SAFE,34.1,Night (IR Flash),Camera Trap (Wildlife),3.146,observation,water_driven_movement,0.5
cc728192-061,100,003303.jpg,2022-06-10 21:00:00,CAM-0120,21.753893,79.184744,G014004,buffer,buffer,teak_forest,North Buffer,CAM-0120,forest_road,CAM-0118,1.879,279.5,0.63,HR-100,0.649,True,1.051,2.115,2.38,Chikhli,7.109,Pench River North,0.435,0.0,0.452,True,0.308,good_ir,0.71,RESTING,resting,summer,CAUTION,33.5,Night (IR Flash),CCTV / Solar Camera,2.38,observation,water_driven_movement,0.5
122103e8-34e,178,004471.jpg,2022-06-10 21:00:00,CAM-0013,21.644528,79.299705,G008010,core_forest,core_forest,teak_forest,East Pench,CAM-0013,crossing,CAM-0002,2.45,356.7,0.82,HR-178,0.754,True,7.859,10.859,9.498,Sillari,3.101,Pench River Main,0.742,0.275,0.05,True,0.141,partial,0.6,RESTING,resting,summer,SAFE,34.2,Night (IR Flash),Camera Trap (Wildlife),9.498,observation,water_driven_movement,0.5
4a242c20-768,181,002034.jpg,2022-06-10 21:00:00,CAM-0013,21.644528,79.299705,G008010,core_forest,core_forest,teak_forest,East Pench,CAM-0013,crossing,CAM-0038,4.862,60.7,1.62,HR-181,3.953,False,7.859,10.859,9.498,Sillari,3.101,Pench River Main,0.742,0.275,0.05,True,0.379,good_ir,0.7,LONG_DISTANCE,long_distance_travel,summer,SAFE,34.5,Night (IR Flash),Camera Trap (Wildlife),9.498,observation,range_expansion,0.62
73ada15e-e2a,208,004015.jpg,2022-06-10 21:00:00,CAM-0113,21.587896,79.141935,G005002,buffer,buffer,grassland,West Buffer,CAM-0113,animal_trail,CAM-0066,2.842,223.5,0.95,HR-208,1.017,True,0.105,4.252,3.818,Jamun,2.503,Saleghat Nala,0.765,0.339,0.201,True,0.367,good_ir,0.78,RESTING,resting,summer,CAUTION,33.9,Night (IR Flash),Camera Trap (Wildlife),3.818,observation,normal,0.0
6627d90e-b54,217,004170.jpg,2022-06-10 21:00:00,CAM-0003,21.609939,79.300875,G006010,core_forest,core_forest,bamboo,East Pench,CAM-0003,animal_trail,CAM-0003,0.0,0.0,0.0,HR-217,0.48,True,4.915,8.868,8.327,Pipariya,4.314,NH-44 Culvert Pool,0.494,0.1,0.104,True,0.073,occluded,0.32,SLOW,slow_movement,summer,SAFE,34.8,Night (IR Flash),Camera Trap (Wildlife),8.327,observation,water_driven_movement,0.5
e979ea33-cf2,223,001367.jpg,2022-06-10 21:00:00,CAM-0116,21.749952,79.239813,G014007,buffer,buffer,teak_forest,North Buffer,CAM-0116,animal_trail,CAM-0116,0.0,0.0,0.0,HR-223,0.952,True,0.089,2.544,1.221,Ghatpendhari,4.462,Pench River North,0.346,0.127,0.508,True,0.196,poor,0.3,NORMAL,normal_travel,summer,CAUTION,34.9,Night (IR Flash),Camera Trap (Wildlife),1.221,observation,water_driven_movement,0.5
57ab749b-68d,228,003025.jpg,2022-06-10 21:00:00,CAM-0075,21.553358,79.183519,G003004,buffer,buffer,mixed_forest,Paoni Buffer,CAM-0075,animal_trail,CAM-0081,1.812,11.9,0.6,HR-228,1.727,True,0.237,5.346,2.943,Wadamba,4.63,Jamni River,0.579,0.173,0.191,True,0.055,poor,0.26,NORMAL,normal_travel,summer,CAUTION,34.6,Night (IR Flash),Camera Trap (Wildlife),2.943,observation,water_driven_movement,0.5
e60549d8-6dd,267,004677.jpg,2022-06-10 21:00:00,CAM-0065,21.568745,79.163551,G004003,core_forest,core_forest,teak_forest,Saleghat,CAM-0065,animal_trail,CAM-0109,1.962,99.4,0.65,HR-267,0.571,True,0.3,5.506,1.762,Wadamba,2.918,Saleghat Nala,0.654,0.306,0.276,True,0.222,poor,0.24,RESTING,resting,summer,SAFE,35.9,Night (IR Flash),Camera Trap (Wildlife),1.762,observation,normal,0.0
bc9f3fe1-ddf,274,001213.jpg,2022-06-10 21:00:00,CAM-0054,21.714159,79.218764,G012006,core_forest,core_forest,teak_forest,Devalapar,CAM-0054,forest_road,CAM-0056,2.174,190.3,0.72,HR-274,2.113,True,3.949,6.635,4.882,Hiwra,1.735,Pench River North,0.58,0.28,0.244,True,0.093,poor,0.3,RESTING,resting,summer,SAFE,32.7,Night (IR Flash),Camera Trap (Wildlife),4.882,observation,water_driven_movement,0.5
092e2ac4-6d9,0,002558.jpg,2022-06-11 00:00:00,CAM-0066,21.606452,79.160942,G006003,core_forest,core_forest,teak_forest,Saleghat,CAM-0066,animal_trail,CAM-0066,0.0,0.0,0.0,HR-0,0.464,True,2.793,6.759,5.744,Wadamba,1.338,Saleghat Nala,0.846,0.487,0.205,True,0.062,poor,0.3,SLOW,slow_movement,summer,SAFE,28.0,Night (IR Flash),Camera Trap (Wildlife),5.744,observation,normal,0.0
daffac1c-918,12,000190.jpg,2022-06-11 00:00:00,CAM-0064,21.591622,79.201925,G005005,core_forest,core_forest,riparian_forest,Saleghat,CAM-0064,streambed,CAM-0069,1.837,173.4,0.61,HR-12,0.247,True,4.476,10.057,6.315,Wadamba,0.364,Jamni River,0.802,0.518,0.12,True,0.346,partial_ir,0.52,SLOW,slow_movement,summer,SAFE,27.6,Night (IR Flash),Camera Trap (Wildlife),6.315,observation,normal,0.0
c6884831-a9c,24,004302.jpg,2022-06-11 00:00:00,CAM-0066,21.606452,79.160942,G006003,core_forest,core_forest,teak_forest,Saleghat,CAM-0066,animal_trail,CAM-0067,1.908,267.9,0.64,HR-24,0.707,True,2.793,6.759,5.744,Wadamba,1.338,Saleghat Nala,0.682,0.425,0.131,True,0.135,poor,0.33,SLOW,slow_movement,summer,SAFE,26.3,Night (IR Flash),Camera Trap (Wildlife),5.744,observation,normal,0.0
3bf23793-348,60,004206.jpg,2022-06-11 00:00:00,CAM-0039,21.65985,79.243359,G009007,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0039,ridge,CAM-0039,0.0,0.0,0.0,HR-60,0.5,True,9.897,12.511,10.371,Bandara,3.519,Pench River Main,0.744,0.199,0.05,True,0.437,good_ir,0.73,SLOW,slow_movement,summer,SAFE,26.8,Night (IR Flash),Camera Trap (Wildlife),10.371,observation,water_driven_movement,0.5
9a8865fd-828,124,001252.jpg,2022-06-11 00:00:00,CAM-0076,21.55047,79.240212,G003007,core_forest,core_forest,bamboo,Paoni Buffer,CAM-0076,streambed,CAM-0083,1.703,89.6,0.57,HR-124,0.768,True,0.591,6.056,4.951,Paoni,5.693,Jamni River,0.567,0.046,0.154,True,0.126,poor,0.29,SLOW,slow_movement,summer,SAFE,26.9,Night (IR Flash),Camera Trap (Wildlife),4.951,observation,water_driven_movement,0.5
5ab6ac71-590,196,000085.jpg,2022-06-11 00:00:00,CAM-0048,21.641215,79.222714,G008006,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0048,ridge,CAM-0045,2.142,178.2,0.71,HR-196,1.79,True,10.143,13.621,11.842,Wadamba,4.53,NH-44 Culvert Pool,0.665,0.115,0.05,True,0.127,poor,0.31,SLOW,slow_movement,summer,SAFE,29.3,Night (IR Flash),Camera Trap (Wildlife),11.842,observation,water_driven_movement,0.5
ba52e0d1-487,213,002340.jpg,2022-06-11 00:00:00,CAM-0073,21.569168,79.201126,G004005,core_forest,core_forest,teak_forest,Saleghat,CAM-0073,forest_road,CAM-0075,2.524,45.9,0.84,HR-213,1.622,True,2.19,7.743,5.004,Wadamba,2.347,Jamni River,0.579,0.173,0.191,True,0.084,occluded,0.39,SLOW,slow_movement,summer,SAFE,28.4,Night (IR Flash),Camera Trap (Wildlife),5.004,observation,water_driven_movement,0.5
6919c1f0-9b0,226,002507.jpg,2022-06-11 00:00:00,CAM-0094,21.552153,79.2796,G003009,buffer,buffer,teak_forest,Nagalwadi Buffer,CAM-0094,ridge,CAM-0093,1.838,260.0,0.61,HR-226,1.593,True,0.083,4.592,5.129,Khandala,8.757,Jamni River,0.606,0.0,0.255,True,0.532,good_ir,0.78,NORMAL,normal_travel,summer,CAUTION,28.5,Night (IR Flash),CCTV / Solar Camera,5.129,observation,water_driven_movement,0.5
751cb262-3a1,238,002532.jpg,2022-06-11 00:00:00,CAM-0067,21.607096,79.179456,G006004,core_forest,core_forest,teak_forest,Saleghat,CAM-0067,waterhole_approach,CAM-0062,2.918,42.3,0.97,HR-238,0.198,True,4.543,8.78,6.307,Wadamba,2.005,Saleghat Nala,0.655,0.345,0.109,True,0.303,poor_ir,0.34,SLOW,slow_movement,summer,SAFE,29.2,Night (IR Flash),Camera Trap (Wildlife),6.307,observation,normal,0.0
b7b389c7-605,240,002723.jpg,2022-06-11 00:00:00,CAM-0012,21.69795,79.297865,G011010,core_forest,core_forest,teak_forest,East Pench,CAM-0012,animal_trail,CAM-0011,1.908,4.8,0.64,HR-240,1.56,True,3.878,7.407,5.37,Manegaon,6.268,East Pench Nala,0.545,0.0,0.146,True,0.106,partial,0.57,RESTING,resting,summer,SAFE,26.6,Night (IR Flash),Camera Trap (Wildlife),5.37,observation,water_driven_movement,0.5
e00281c2-b44,252,002857.jpg,2022-06-11 00:00:00,CAM-0061,21.733696,79.262554,G013008,core_forest,core_forest,teak_forest,Devalapar,CAM-0061,animal_trail,CAM-0058,2.326,86.4,0.78,HR-252,1.802,True,1.642,4.213,2.049,Bandara,3.869,Pench River North,0.679,0.216,0.471,True,0.177,poor,0.29,SLOW,slow_movement,summer,SAFE,29.8,Night (IR Flash),Camera Trap (Wildlife),2.049,observation,water_driven_movement,0.5
913627c3-0d6,264,003018.jpg,2022-06-11 00:00:00,CAM-0009,21.66145,79.296989,G009010,core_forest,core_forest,teak_forest,East Pench,CAM-0009,waterhole_approach,CAM-0009,0.0,0.0,0.0,HR-264,0.447,True,7.461,11.248,9.37,Manegaon,3.63,East Pench Nala,0.629,0.235,0.05,True,0.332,poor_ir,0.29,SLOW,slow_movement,summer,SAFE,29.1,Night (IR Flash),Camera Trap (Wildlife),9.37,observation,water_driven_movement,0.5
cb5926a4-21d,30,002924.jpg,2022-06-11 03:00:00,CAM-0096,21.518405,79.2607,G001008,buffer,buffer,mixed_forest,Nagalwadi Buffer,CAM-0096,ridge,CAM-0090,1.884,268.9,0.63,HR-30,1.523,True,3.345,1.941,2.266,Chargaon,9.802,Jamni River,0.371,0.0,0.67,True,0.362,partial_ir,0.48,RESTING,resting,summer,CAUTION,28.9,Night (IR Flash),Camera Trap (Wildlife),2.266,observation,water_driven_movement,0.5
414291a7-7ee,82,000688.jpg,2022-06-11 03:00:00,CAM-0076,21.55047,79.240212,G003007,core_forest,core_forest,bamboo,Paoni Buffer,CAM-0076,streambed,CAM-0083,1.703,89.6,0.57,HR-82,0.857,True,0.591,6.056,4.951,Paoni,5.693,Jamni River,0.567,0.046,0.154,True,0.211,poor,0.25,SLOW,slow_movement,summer,SAFE,27.2,Night (IR Flash),Camera Trap (Wildlife),4.951,observation,water_driven_movement,0.5
c3d7ae3f-089,114,004699.jpg,2022-06-11 03:00:00,CAM-0039,21.65985,79.243359,G009007,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0039,ridge,CAM-0039,0.0,0.0,0.0,HR-114,0.306,True,9.897,12.511,10.371,Bandara,3.519,Pench River Main,0.744,0.199,0.05,True,0.101,poor,0.25,RESTING,resting,summer,SAFE,26.5,Night (IR Flash),Camera Trap (Wildlife),10.371,observation,water_driven_movement,0.5
49b4ceee-477,129,001720.jpg,2022-06-11 03:00:00,CAM-0103,21.609887,79.2624,G006008,core_forest,core_forest,bamboo,Sillari Buffer Sector,CAM-0103,crossing,CAM-0038,1.517,164.9,0.51,HR-129,1.048,True,6.575,11.233,11.274,Khapa,2.249,NH-44 Culvert Pool,0.664,0.312,0.249,True,0.544,partial_ir,0.54,SLOW,slow_movement,summer,SAFE,27.2,Night (IR Flash),Camera Trap (Wildlife),11.274,observation,normal,0.0
f5c4717f-122,132,002659.jpg,2022-06-11 03:00:00,CAM-0080,21.532353,79.202565,G002005,buffer,buffer,teak_forest,Paoni Buffer,CAM-0080,forest_road,CAM-0078,2.015,258.1,0.67,HR-132,2.104,True,1.854,3.73,1.944,Sawara,6.404,Jamni River,0.438,0.0,0.446,True,0.083,occluded,0.35,SLOW,slow_movement,summer,CAUTION,28.6,Night (IR Flash),CCTV / Solar Camera,1.944,observation,water_driven_movement,0.5
b3d36689-2b0,171,003649.jpg,2022-06-11 03:00:00,CAM-0022,21.714623,79.203699,G012005,core_forest,core_forest,teak_forest,West Pench,CAM-0022,ridge,CAM-0054,1.553,271.9,0.52,HR-171,1.231,True,3.669,6.671,4.954,Hiwra,3.265,Pench River North,0.622,0.409,0.17,True,0.129,poor,0.25,SLOW,slow_movement,summer,SAFE,29.4,Night (IR Flash),Camera Trap (Wildlife),4.954,observation,normal,0.0
a643a718-4b0,172,003837.jpg,2022-06-11 03:00:00,CAM-0054,21.714159,79.218764,G012006,core_forest,core_forest,teak_forest,Devalapar,CAM-0054,forest_road,CAM-0055,1.636,0.2,0.55,HR-172,2.14,True,3.949,6.635,4.882,Hiwra,1.735,Pench River North,0.618,0.366,0.096,True,0.06,partial,0.51,SLOW,slow_movement,summer,SAFE,26.8,Night (IR Flash),Camera Trap (Wildlife),4.882,observation,normal,0.0
7fce3fd3-154,198,004528.jpg,2022-06-11 03:00:00,CAM-0027,21.713362,79.181053,G012004,core_forest,core_forest,teak_forest,West Pench,CAM-0027,ridge,CAM-0027,0.0,0.0,0.0,HR-198,0.971,True,3.24,6.528,3.667,Bodalkasa,5.569,Pench River North,0.563,0.05,0.215,True,0.167,poor,0.33,RESTING,resting,summer,SAFE,27.8,Night (IR Flash),Camera Trap (Wildlife),3.667,observation,water_driven_movement,0.5
1946c5aa-8a1,211,001287.jpg,2022-06-11 03:00:00,CAM-0005,21.64043,79.340563,G008012,core_forest,core_forest,riparian_forest,East Pench,CAM-0005,animal_trail,CAM-0005,0.0,0.0,0.0,HR-211,0.86,True,3.322,6.302,5.559,Sillari,1.521,East Pench Nala,0.825,0.449,0.128,True,0.515,poor_ir,0.3,SLOW,slow_movement,summer,SAFE,29.5,Night (IR Flash),Camera Trap (Wildlife),5.559,observation,normal,0.0
b8c6fb01-b96,220,000373.jpg,2022-06-11 03:00:00,CAM-0122,21.571889,79.257793,G004008,core_forest,core_forest,grassland,NH-44 Corridor,CAM-0122,animal_trail,CAM-0123,2.14,187.0,0.71,HR-220,0.286,True,2.539,7.545,7.896,Paoni,5.797,Jamni River,0.56,0.0,0.252,True,0.344,good_ir,0.78,RESTING,resting,summer,SAFE,26.3,Night (IR Flash),Camera Trap (Wildlife),7.896,observation,water_driven_movement,0.5
67d25000-5e0,243,005129.jpg,2022-06-11 03:00:00,CAM-0049,21.67811,79.223583,G010006,core_forest,core_forest,mixed_forest,Chorbahuli,CAM-0049,forest_road,CAM-0045,1.961,4.6,0.65,HR-243,1.072,True,7.933,10.602,8.912,Hiwra,3.73,Pench River North,0.626,0.211,0.05,True,0.56,partial_ir,0.48,NORMAL,normal_travel,summer,SAFE,27.4,Night (IR Flash),Camera Trap (Wildlife),8.912,observation,water_driven_movement,0.5
93e49db8-d7b,244,002353.jpg,2022-06-11 03:00:00,CAM-0037,21.627916,79.223226,G007006,core_forest,core_forest,grassland,Chorbahuli,CAM-0037,streambed,CAM-0041,2.095,227.4,0.7,HR-244,1.52,True,8.942,13.678,10.719,Wadamba,4.309,NH-44 Culvert Pool,0.684,0.161,0.05,True,0.337,good_ir,0.74,NORMAL,normal_travel,summer,SAFE,28.1,Night (IR Flash),Camera Trap (Wildlife),10.719,observation,water_driven_movement,0.5
128db7fc-bc6,247,002962.jpg,2022-06-11 03:00:00,CAM-0102,21.569383,79.220994,G004006,core_forest,core_forest,teak_forest,Sillari Buffer Sector,CAM-0102,animal_trail,CAM-0083,2.13,352.5,0.71,HR-247,1.147,True,2.457,7.985,6.412,Sawara,2.82,Jamni River,0.701,0.304,0.103,True,0.256,good_ir,0.71,SLOW,slow_movement,summer,SAFE,28.6,Night (IR Flash),Camera Trap (Wildlife),6.412,observation,normal,0.0
53fdc03f-b16,250,001328.jpg,2022-06-11 03:00:00,CAM-0054,21.714159,79.218764,G012006,core_forest,core_forest,teak_forest,Devalapar,CAM-0054,forest_road,CAM-0056,2.174,190.3,0.72,HR-250,1.841,True,3.949,6.635,4.882,Hiwra,1.735,Pench River North,0.58,0.28,0.244,True,0.06,partial,0.5,SLOW,slow_movement,summer,SAFE,29.7,Night (IR Flash),Camera Trap (Wildlife),4.882,observation,water_driven_movement,0.5
817c10f7-738,6,000538.jpg,2022-06-11 06:00:00,CAM-0111,21.62798,79.12392,G007001,buffer,buffer,scrub,West Buffer,CAM-0111,crossing,CAM-0108,1.755,187.5,0.59,HR-6,0.589,True,0.915,2.655,2.813,Bodhali,5.595,Saleghat Nala,0.378,0.057,0.447,True,0.215,partial,0.58,NORMAL,normal_travel,summer,CAUTION,33.0,Dawn / Dusk,Camera Trap (Wildlife),2.813,observation,water_driven_movement,0.5
f0f973fb-977,25,003365.jpg,2022-06-11 06:00:00,CAM-0004,21.66184,79.334762,G009012,core_forest,core_forest,riparian_forest,East Pench,CAM-0004,animal_trail,CAM-0104,2.356,135.7,0.79,HR-25,2.3,True,4.407,7.141,6.342,Karmajhiri,1.403,East Pench Nala,0.582,0.244,0.156,True,0.119,partial,0.59,RESTING,resting,summer,SAFE,34.9,Dawn / Dusk,Camera Trap (Wildlife),6.342,observation,water_driven_movement,0.5
d0aa7967-8a3,34,004421.jpg,2022-06-11 06:00:00,CAM-0120,21.753893,79.184744,G014004,buffer,buffer,teak_forest,North Buffer,CAM-0120,forest_road,CAM-0120,0.0,0.0,0.0,HR-34,0.039,True,1.051,2.115,2.38,Chikhli,7.109,Pench River North,0.435,0.0,0.452,True,0.469,good,0.85,SLOW,slow_movement,summer,CAUTION,33.2,Dawn / Dusk,CCTV / Solar Camera,2.38,observation,water_driven_movement,0.5
3d437224-aa1,45,003925.jpg,2022-06-11 06:00:00,CAM-0114,21.623022,79.142596,G007002,core_forest,core_forest,teak_forest,West Buffer,CAM-0114,crossing,CAM-0111,2.001,106.0,0.67,HR-45,2.732,True,1.093,4.728,4.606,Bodhali,3.873,Saleghat Nala,0.378,0.057,0.447,True,0.083,poor,0.26,SLOW,slow_movement,summer,SAFE,34.1,Dawn / Dusk,Camera Trap (Wildlife),4.606,observation,water_driven_movement,0.5
62f6eb17-fc4,51,002698.jpg,2022-06-11 06:00:00,CAM-0015,21.64353,79.358313,G008013,core_forest,core_forest,teak_forest,East Pench,CAM-0015,animal_trail,CAM-0015,0.0,0.0,0.0,HR-51,0.837,True,1.458,4.367,3.799,Pangdi,3.003,East Pench Nala,0.596,0.285,0.203,True,0.509,excellent,0.91,SLOW,slow_movement,summer,SAFE,33.2,Dawn / Dusk,Camera Trap (Wildlife),3.799,observation,water_driven_movement,0.5
ae2f34bd-b82,78,003366.jpg,2022-06-11 06:00:00,CAM-0048,21.641215,79.222714,G008006,core_forest,core_forest,teak_forest,Chorbahuli,CAM-0048,ridge,CAM-0048,0.0,0.0,0.0,HR-78,0.781,True,10.143,13.621,11.842,Wadamba,4.53,NH-44 Culvert Pool,0.665,0.115,0.05,True,0.344,good,0.82,NORMAL,normal_travel,summer,SAFE,34.9,Dawn / Dusk,Camera Trap (Wildlife),11.842,observation,water_driven_movement,0.5
2506ed2f-e80,90,001769.jpg,2022-06-11 06:00:00,CAM-0005,21.64043,79.340563,G008012,core_forest,core_forest,riparian_forest,East Pench,CAM-0005,animal_trail,CAM-0005,0.0,0.0,0.0,HR-90,0.546,True,3.322,6.302,5.559,Sillari,1.521,East Pench Nala,0.825,0.449,0.128,True,0.306,good,0.79,NORMAL,normal_travel,summer,SAFE,32.7,Dawn / Dusk,Camera Trap (Wildlife),5.559,observation,normal,0.0
1a5a5043-79c,91,000361.jpg,2022-06-11 06:00:00,CAM-0081,21.53739,79.179886,G002004,buffer,buffer,mixed_forest,Paoni Buffer,CAM-0081,ridge,CAM-0081,0.0,0.0,0.0,HR-91,1.444,True,2.002,3.562,2.06,Ghoti,6.387,Jamni River,0.288,0.0,0.471,True,0.312,good,0.77,NORMAL,normal_travel,summer,CAUTION,33.7,Dawn / Dusk,CCTV / Solar Camera,2.06,observation,water_driven_movement,0.5
2c0e0dd2-423,108,001198.jpg,2022-06-11 06:00:00,CAM-0031,21.682028,79.142899,G010002,core_forest,core_forest,teak_forest,West Pench,CAM-0031,crossing,CAM-0031,0.0,0.0,0.0,HR-108,1.033,True,1.071,4.634,3.91,Ghiregaon,9.925,Saleghat Nala,0.56,0.0,0.201,True,0.481,good,0.8,SLOW,slow_movement,summer,SAFE,32.4,Dawn / Dusk,Camera Trap (Wildlife),3.91,observation,water_driven_movement,0.5
104d8d8b-b12,177,002458.jpg,2022-06-11 06:00:00,CAM-0050,21.681894,79.279911,G010009,core_forest,core_forest,bamboo,Chorbahuli,CAM-0050,streambed,CAM-0046,1.8,77.9,0.6,HR-177,1.703,True,6.407,9.763,7.66,Manegaon,4.761,Pench River Main,0.634,0.157,0.249,True,0.062,poor,0.31,RESTING,resting,summer,SAFE,34.7,Dawn / Dusk,Camera Trap (Wildlife),7.66,observation,water_driven_movement,0.5
cbe58377-db5,195,000914.jpg,2022-06-11 06:00:00,CAM-0070,21.622399,79.199789,G007005,core_forest,core_forest,teak_forest,Saleghat,CAM-0070,animal_trail,CAM-0070,0.0,0.0,0.0,HR-195,1.54,True,7.363,11.077,8.789,Wadamba,3.636,Jamni River,0.629,0.373,0.068,True,0.149,partial,0.55,RESTING,resting,summer,SAFE,33.0,Dawn / Dusk,Camera Trap (Wildlife),8.789,observation,normal,0.0
